Rank,Total,Venue_S,Relev_S,Impact_S,Bonus_S,Title,Authors,Year,Venue,Citations,Code,Code_URL,Demo,URL,PDF,Source
1,64,15,25,9,15,Path and trajectory planning of a tethered UAV-UGV marsupial robotic system,S. Mart??nez-Rozas; D. Alejo; F. Caballero; L. Merino,2022,"8 pages, 4 figures, 3 tables. Version accepted in IEEE-Robot",25,,,Y,http://arxiv.org/abs/2204.01828v3,https://arxiv.org/pdf/2204.01828v3,both
2,60,15,25,4,15,Apprenticeship Bootstrapping Via Deep Learning with a Safety Net for UAV-UGV Interaction,Hung Nguyen; Vu Tran; Tung Nguyen; Matthew Garratt; Kathryn Kasmarik,2018,"Presented at AI-HRI AAAI-FSS, 2018 (arXiv:1809.06606)",2,,,Y,http://arxiv.org/abs/1810.04344v1,https://arxiv.org/pdf/1810.04344v1,both
3,58,15,24,4,15,"Fly, Track, Land: Infrastructure-less Magnetic Localization for Heterogeneous UAV-UGV Teaming",Valerio Brunacci; Davide Plozza; Alessio De Angelis; Michele Magno; Tommaso Polonelli,2026,Submitted to IEEE Transactions on Robotics (T-RO). Supplemen,0,,,Y,http://arxiv.org/abs/2603.08926v1,https://arxiv.org/pdf/2603.08926v1,arxiv
4,54,2,33,4,15,Collaborative Planning with Concurrent Synchronization for Operationally Constrained UAV-UGV Teams,Zihao Deng; Qianhuang Li; Peng Gao; Maggie Wigness; John Rogers,2026,,0,,,Y,http://arxiv.org/abs/2603.06898v1,https://arxiv.org/pdf/2603.06898v1,both
5,54,15,20,4,15,Semi-distributed Cross-modal Air-Ground Relative Localization,Weining Lu; Deer Bin; Lian Ma; Ming Ma; Zhihao Ma,2025,"7 pages, 3 figures. Accepted by IROS 2025",0,Y,https://github.com/Ascbpiac/cross-model-relative-localization.git,,http://arxiv.org/abs/2511.06749v1,https://arxiv.org/pdf/2511.06749v1,both
6,54,0,32,7,15,A Two-Phase Planner for Messenger Routing Problem in UAV-UGV Coordination Systems,Zhao Zhang; Chen Chen; Lingda Wang; Yulong Ding; Fang Deng,2025,IEEE Transactions on Automation Science and Engineering,2,,,Y,https://www.semanticscholar.org/paper/ea1be77bd9a88a2f19a986d541bb00f83aeb1c8e,,both
7,54,2,31,6,15,UAV-UGV Cooperative Trajectory Optimization and Task Allocation for Medical Rescue Tasks in Post-Disaster Environments,Kaiyuan Chen; Wanpeng Zhao; Yongxi Liu; Yuanqing Xia; Wannian Liang,2025,Unmanned Systems,1,,,Y,http://arxiv.org/abs/2506.06136v2,https://arxiv.org/pdf/2506.06136v2,both
8,51,2,26,8,15,Deep Reinforcement Learning Enabled Persistent Surveillance with Energy-Aware UAV-UGV Systems for Disaster Management Applications,Md Safwan Mondal; Subramanian Ramasamy; Pranav Bhounsule,2025,Submitted,4,,,Y,http://arxiv.org/abs/2502.02666v1,https://arxiv.org/pdf/2502.02666v1,both
9,51,2,15,4,30,"\LARGE GMP$^{3}$: Learning-Driven, Bellman-Guided Trajectory Planning for UAVs in Real-Time on SE(3)",Babak Salamat; Dominik Mattern; Sebastian-Sven Olzem; Gerhard Elsbacher; Christian Seidel,2025,,0,Y,https://github.com/Domattee/DroneManager,Y,http://arxiv.org/abs/2509.21264v1,https://arxiv.org/pdf/2509.21264v1,both
10,51,0,27,9,15,Vision-Based UAV-UGV Collaboration for Autonomous Construction Site Preparation,Oren Elmakis; T. Shaked; Amir Degani,2022,IEEE Access,31,,,Y,https://www.semanticscholar.org/paper/eb49fe4ec04ccb7e76042efb32e6cf5884ee0eb9,https://ieeexplore.ieee.org/ielx7/6287639/9668973/09762958.pdf,semantic_scholar
11,50,0,29,6,15,Deep Semantic Image Segmentation for UAV-UGV Cooperative Path Planning: A Car Park Use Case,Mirela Kundid Vasi??; Ahmad Drak; Nediljko Bugarin; Stanko Kru??i??; J. Musi??,2020,"International Conference on Software, Telecommunications and",8,,,Y,https://www.semanticscholar.org/paper/993eb7fda52649cccb6b60752fca156b6992ec58,,both
12,50,15,16,4,15,AgriColMap: Aerial-Ground Collaborative 3D Mapping for Precision Farming,Ciro Potena; Raghav Khanna; Juan Nieto; Roland Siegwart; Daniele Nardi,2018,"Published in IEEE Robotics and Automation Letters, 2019",0,,,Y,http://arxiv.org/abs/1810.00457v2,https://arxiv.org/pdf/1810.00457v2,arxiv
13,50,15,16,4,15,Stronger Together: Air-Ground Robotic Collaboration Using Semantics,Ian D. Miller; Fernando Cladera; Trey Smith; Camillo Jose Taylor; Vijay Kumar,2022,Sumbitted to RA-L and IROS,0,,,Y,http://arxiv.org/abs/2206.14289v1,https://arxiv.org/pdf/2206.14289v1,arxiv
